City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Port-Cartier,CA,50.0334,-66.8654,23.76,61,7,15.97,clear sky
210,Nueva Loja,EC,0.0847,-76.8828,86.02,66,40,6.91,scattered clouds
211,Salme,NP,28.0369,85.0942,52.09,66,8,4.56,clear sky
212,Mwinilunga,ZM,-11.7358,24.4293,71.02,63,72,3.42,broken clouds
213,Manaus,BR,-3.1019,-60.025,84.7,74,75,3.44,broken clouds
214,Mae Hong Son,TH,19.3003,97.9685,64.87,89,56,2.55,broken clouds
215,Half Moon Bay,US,37.4636,-122.4286,55.31,84,90,1.99,mist
216,Yellowknife,CA,62.456,-114.3525,-28.71,91,28,1.01,scattered clouds
217,Klaksvik,FO,62.2266,-6.589,34.72,57,99,16.55,overcast clouds
218,Nakamura,JP,32.9833,132.9333,38.26,80,1,4.43,clear sky
219,Urucara,BR,-2.5364,-57.76,89.15,61,45,1.81,light rain
220,Aripuana,BR,-9.1667,-60.6333,74.86,94,100,2.75,overcast clouds
221,Vanderhoof,CA,54.0166,-124.0198,22.86,60,100,1.95,overcast clouds
222,Ukiah,US,39.1502,-123.2078,57.97,93,90,0.0,mist
223,Victoria,HK,22.2855,114.1577,66.38,71,64,3.0,broken clouds
224,Sitka,US,57.0531,-135.33,21.09,86,1,3.44,clear sky
225,Potsdam,DE,52.3989,13.0657,37.49,94,100,1.01,overcast clouds
226,Arrecife,ES,28.963,-13.5477,68.07,49,0,18.41,clear sky
227,Tahta,EG,26.7693,31.5021,68.41,24,79,3.15,broken clouds
228,Doha,QA,25.2867,51.5333,64.71,64,9,12.66,clear sky
229,Ciudad Bolivar,VE,8.1222,-63.5497,92.82,41,85,10.69,overcast clouds
230,Tecoanapa,MX,16.5167,-98.75,84.18,55,11,4.05,few clouds
231,Norman Wells,CA,65.282,-126.8329,-30.12,94,16,3.42,few clouds
232,Saint Anthony,US,45.0205,-93.218,34.83,51,20,3.0,few clouds
233,Kruisfontein,ZA,-34.0033,24.7314,61.88,94,100,16.62,light rain
234,Wakefield,GB,53.6809,-1.499,42.39,83,98,12.3,light rain
235,Henties Bay,NA,-22.116,14.2845,64.85,78,0,15.61,clear sky
236,Podosinovets,RU,60.2776,47.0659,7.18,96,100,5.84,overcast clouds
237,Tyshkivka,UA,48.4967,30.9423,30.63,80,22,5.77,few clouds
238,Bathsheba,BB,13.2167,-59.5167,86.61,58,40,19.57,scattered clouds
239,Montivilliers,FR,49.5452,0.1877,44.46,65,52,21.63,broken clouds
240,Emirdag,TR,39.0197,31.15,46.87,89,94,2.13,overcast clouds
241,Balsas,BR,-7.5325,-46.0356,81.46,75,96,4.76,overcast clouds
242,Olafsvik,IS,64.8945,-23.7142,34.61,75,71,4.65,broken clouds
243,Axim,GH,4.8699,-2.2405,83.48,72,49,9.8,scattered clouds
244,Tessalit,ML,20.1986,1.0114,78.58,12,49,10.78,scattered clouds
245,Nenton,GT,15.8,-91.75,77.31,52,1,5.26,clear sky
246,Airai,TL,-8.9266,125.4092,62.19,93,100,1.21,overcast clouds
247,Chuy,UY,-33.6971,-53.4616,72.73,62,100,13.04,overcast clouds
248,Marsaxlokk,MT,35.8419,14.5431,58.08,71,20,14.97,few clouds
249,Duma,CN,34.7653,108.135,35.83,39,0,4.79,clear sky
250,Sao Filipe,CV,14.8961,-24.4956,77.09,69,95,9.37,overcast clouds
251,Haines Junction,CA,60.7522,-137.5108,-24.83,100,78,2.17,broken clouds
252,New Port Richey,US,28.2442,-82.7193,75.61,68,28,1.01,scattered clouds
253,Antalaha,MG,-14.9003,50.2788,76.39,87,8,6.49,light rain
254,Erenhot,CN,43.6475,111.9767,25.77,49,0,14.43,clear sky
255,Hefei,CN,31.8639,117.2808,47.95,41,1,4.38,clear sky
256,Bria,CF,6.5423,21.9863,82.85,33,68,2.77,broken clouds
257,Padang,ID,-0.9492,100.3543,77.49,88,100,1.48,overcast clouds
258,Colares,PT,38.7992,-9.4469,60.33,83,75,18.41,light intensity drizzle
259,Fethiye,TR,36.6217,29.1164,64.27,84,100,7.0,overcast clouds
260,Kitgum,UG,3.2783,32.8867,79.09,44,80,6.55,broken clouds
